Sex,Priming,trialN,Block,Adjective,Valence,Answer,Arrow,rT
male,Individual,1,me,pragm�tico,positive,yes,left,719
male,Individual,2,me,c�mico,positive,yes,left,505
male,Individual,3,me,festivo,positive,no,right,255
male,Individual,4,me,orgulloso,negative,yes,left,257
male,Individual,5,me,sedentario,negative,yes,left,298
male,Individual,6,me,grosero,negative,no,right,239
male,Individual,7,me,molestoso,negative,no,right,386
male,Individual,8,me,caprichoso,negative,no,right,368
male,Individual,9,me,vigoroso,positive,yes,left,552
male,Individual,10,me,suspicaz,positive,yes,left,390
male,Individual,11,me,chistoso,positive,yes,left,320
male,Individual,12,me,atento,positive,yes,left,620
male,Individual,13,me,rabioso,negative,no,right,417
male,Individual,14,me,resiliente,positive,no,right,619
male,Individual,15,me,agresivo,negative,no,right,396
male,Individual,16,me,efectivo,positive,yes,left,594
male,Individual,17,me,traicionero,negative,no,right,966
male,Individual,18,me,ingrato,negative,no,right,1112
male,Individual,19,me,narcisista,negative,no,right,333
male,Individual,20,me,canchero,positive,yes,left,344
male,Individual,21,me,vengativo,negative,no,right,297
male,Individual,22,me,detallista,positive,no,right,539
male,Individual,23,me,humilde,positive,yes,left,460
male,Individual,24,me,bac�n,positive,no,right,671
male,Individual,25,me,bromista,positive,yes,left,341
male,Individual,26,me,temeroso,negative,no,right,1252
male,Individual,27,me,mon�tono,negative,yes,left,621
male,Individual,28,me,farsante,negative,no,right,489
male,Individual,29,me,obsesivo,negative,no,right,864
male,Individual,30,me,decente,positive,yes,left,323
male,Individual,31,me,paciente,positive,yes,left,666
male,Individual,32,me,curioso,positive,yes,left,612
male,Individual,33,me,ignorante,negative,yes,left,369
male,Individual,34,me,borracho,negative,no,right,269
male,Individual,35,me,infantil,negative,yes,left,298
male,Individual,36,me,rom�ntico,positive,yes,left,332
male,Individual,37,me,divertido,positive,yes,left,389
male,Individual,38,me,d�spota,negative,no,right,757
male,Individual,39,me,regal�n,positive,yes,left,329
male,Individual,40,me,perceptivo,positive,yes,left,271
male,Individual,41,me,galante,positive,yes,left,775
male,Individual,42,me,descarado,negative,yes,left,356
male,Individual,43,me,brillante,positive,no,right,282
male,Individual,44,me,arrastrado,negative,no,right,351
male,Individual,45,me,vicioso,negative,yes,left,417
male,Individual,46,me,t�mido,negative,yes,left,1561
male,Individual,47,me,impuntual,negative,no,right,228
male,Individual,48,me,infiel,negative,no,right,273
male,Individual,49,me,suertudo,positive,yes,left,171
male,Individual,50,me,burlesco,negative,no,right,283
male,Individual,51,me,inteligente,positive,yes,left,833
male,Individual,52,me,estresado,negative,no,right,1181
male,Individual,53,me,posesivo,negative,no,right,991
male,Individual,54,me,fastidioso,negative,no,right,1213
male,Individual,55,me,elocuente,positive,yes,left,624
male,Individual,56,me,diferente,positive,no,right,723
male,Individual,57,me,envidioso,negative,no,right,376
male,Individual,58,me,carretero,positive,no,right,507
male,Individual,59,me,nervioso,negative,yes,left,503
male,Individual,60,me,capaz,positive,yes,left,196
male,Individual,61,me,avaro,negative,no,right,175
male,Individual,62,me,c�modo,negative,yes,left,1196
male,Individual,63,me,ma�oso,negative,yes,left,955
male,Individual,64,me,anticuado,negative,yes,left,1107
male,Individual,65,me,amante,positive,yes,left,288
male,Individual,66,me,obstinado,negative,yes,left,1945
male,Individual,67,me,natural,positive,yes,left,482
male,Individual,68,me,apacible,positive,yes,left,245
male,Individual,69,me,ego�sta,negative,no,right,206
male,Individual,70,me,indeciso,negative,yes,left,1519
male,Individual,71,me,espont�neo,positive,yes,left,1313
male,Individual,72,me,amistoso,positive,yes,left,56
male,Individual,73,me,patriota,positive,yes,left,3212
male,Individual,74,me,puntual,positive,yes,left,459
male,Individual,75,me,creativo,positive,no,right,1141
male,Individual,76,me,pesimista,negative,no,right,1745
male,Individual,77,me,ofensivo,negative,no,right,211
male,Individual,78,me,obediente,positive,yes,left,2080
male,Individual,79,me,sumiso,negative,no,right,985
male,Individual,80,me,c�lido,positive,yes,left,599
male,Individual,81,me,idealista,positive,yes,left,1301
male,Individual,82,me,alegre,positive,yes,left,1278
male,Individual,83,me,inconstante,negative,yes,left,850
male,Individual,84,me,impulsivo,negative,yes,left,1201
male,Individual,85,me,consumista,negative,yes,left,676
male,Individual,86,me,p�caro,positive,yes,left,743
male,Individual,87,me,optimista,positive,yes,left,1343
male,Individual,88,me,hip�crita,negative,no,right,320
male,Individual,89,me,prudente,positive,yes,left,257
male,Individual,90,me,simp�tico,positive,yes,left,260
male,Individual,91,me,sociable,positive,yes,left,757
male,Individual,92,me,altruista,positive,no,right,3050
male,Individual,93,me,exitoso,positive,yes,left,1287
male,Individual,94,me,tolerante,positive,yes,left,359
male,Individual,95,me,honesto,positive,yes,left,298
male,Individual,96,me,vanidoso,negative,no,right,535
male,Individual,97,me,permisivo,positive,yes,left,565
male,Individual,98,me,apretado,negative,no,right,1285
male,Individual,99,me,cordial,positive,yes,left,317
male,Individual,100,me,emp�tico,positive,yes,left,781
male,Individual,101,me,sensible,positive,yes,left,274
male,Individual,102,me,persistente,positive,yes,left,1949
male,Individual,103,me,presumido,negative,no,right,2094
male,Individual,104,me,feliz,positive,yes,left,279
male,Individual,105,me,positivo,positive,yes,left,917
male,Individual,106,me,estricto,positive,no,right,1284
male,Individual,107,me,bondadoso,positive,yes,left,207
male,Individual,108,me,hostil,negative,no,right,248
male,Individual,109,me,entusiasta,positive,yes,left,670
male,Individual,110,me,racista,negative,no,right,248
male,Individual,111,me,abusivo,negative,no,right,245
male,Individual,112,me,resentido,negative,no,right,245
male,Individual,113,me,agradable,positive,yes,left,1038
male,Individual,114,me,ocioso,negative,yes,left,327
male,Individual,115,me,prejuicioso,negative,no,right,1002
male,Individual,116,me,goloso,negative,yes,left,306
male,Individual,117,me,inmaduro,negative,yes,left,2515
male,Individual,118,me,obsceno,negative,no,right,304
male,Individual,119,me,entregado,positive,yes,left,1021
male,Individual,120,me,mentiroso,negative,no,right,1454
male,Individual,121,me,enfermizo,negative,no,right,2956
male,Individual,122,me,arribista,negative,no,right,1757
male,Individual,123,me,sinverg�enza,negative,yes,left,2380
male,Individual,124,me,rencoroso,negative,no,right,210
male,Individual,125,me,calmado,positive,yes,left,816
male,Individual,126,me,clasista,negative,no,right,491
male,Individual,127,me,delincuente,negative,no,right,261
male,Individual,128,me,perspicaz,positive,yes,left,483
male,Individual,129,me,astuto,positive,yes,left,310
male,Individual,130,me,seguro,positive,yes,left,1077
male,Individual,131,me,sarc�stico,negative,yes,left,555
male,Individual,132,me,educado,positive,yes,left,256
male,Individual,133,me,directo,positive,yes,left,345
male,Individual,134,me,audaz,positive,yes,left,249
male,Individual,135,me,persuasivo,positive,yes,left,358
male,Individual,136,me,soberbio,negative,no,right,275
male,Individual,137,me,risue�o,positive,yes,left,403
